"pathway","readable","direction","n_methods","category"
"pwy-841","PWY-841: superpathway of purine nucleotides de novo biosynthesis I","C-section enriched",4,"Nucleotide metabolism"
"pwy0-1296","PWY0-1296: purine ribonucleosides degradation","C-section enriched",4,"Nucleotide metabolism"
"pwy0-1297","PWY0-1297: superpathway of purine deoxyribonucleosides degradation","C-section enriched",4,"Nucleotide metabolism"
"pwy0-1298","PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation","C-section enriched",4,"Nucleotide metabolism"
"pwy0-166","PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","C-section enriched",4,"Nucleotide metabolism"
"pwy66-409","PWY66-409: superpathway of purine nucleotide salvage","C-section enriched",4,"Nucleotide metabolism"
"salvadehypox-pwy","SALVADEHYPOX-PWY: adenosine nucleotides degradation II","Vaginal enriched",4,"Nucleotide metabolism"
"nonmevipp-pwy","NONMEVIPP-PWY: methylerythritol phosphate pathway I","Vaginal enriched",4,"Other"
"pwy-4702","PWY-4702: phytate degradation I","Vaginal enriched",4,"Other"
"pwy-5367","PWY-5367: petroselinate biosynthesis","C-section enriched",4,"Other"
"pwy-5656","PWY-5656: mannosylglycerate biosynthesis I","Vaginal enriched",4,"Other"
"pwy-6609","PWY-6609: adenine and adenosine salvage III","C-section enriched",4,"Other"
"pwy-7560","PWY-7560: methylerythritol phosphate pathway II","Vaginal enriched",4,"Other"
"ketogluconmet-pwy","KETOGLUCONMET-PWY: ketogluconate metabolism","Vaginal enriched",4,"Other specialised"
"p185-pwy","P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)","C-section enriched",4,"Other specialised"
"ppgppmet-pwy","PPGPPMET-PWY: ppGpp biosynthesis","C-section enriched",4,"Other specialised"
"pwy-6749","PWY-6749: CMP-legionaminate biosynthesis I","Vaginal enriched",4,"Other specialised"
"denitrification-pwy","DENITRIFICATION-PWY: nitrate reduction I (denitrification)","C-section enriched",4,"Respiration / electron transport"
"pwy-7279","PWY-7279: aerobic respiration II (cytochrome c) (yeast)","C-section enriched",4,"Respiration / electron transport"
"pwy-7383","PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)","C-section enriched",4,"Respiration / electron transport"
"pwy-4361","PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","C-section enriched",4,"Sulfur metabolism"
"argsyn-pwy","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)","C-section enriched",3,"Amino acid / nitrogen metabolism"
"aspasn-pwy","ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis","C-section enriched",3,"Amino acid / nitrogen metabolism"
"branched-chain-aa-syn-pwy","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis","C-section enriched",3,"Amino acid / nitrogen metabolism"
"complete-aro-pwy","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis","C-section enriched",3,"Amino acid / nitrogen metabolism"
"homoser-metsyn-pwy","HOMOSER-METSYN-PWY: L-methionine biosynthesis I","C-section enriched",3,"Amino acid / nitrogen metabolism"
"metsyn-pwy","METSYN-PWY: L-homoserine and L-methionine biosynthesis","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-1622","PWY-1622: formaldehyde assimilation I (serine pathway)","Vaginal enriched",3,"Amino acid / nitrogen metabolism"
"pwy-3001","PWY-3001: superpathway of L-isoleucine biosynthesis I","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5030","PWY-5030: L-histidine degradation III","Vaginal enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5103","PWY-5103: L-isoleucine biosynthesis III","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5104","PWY-5104: L-isoleucine biosynthesis IV","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5189","PWY-5189: tetrapyrrole biosynthesis II (from glycine)","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5692","PWY-5692: allantoin degradation to glyoxylate II","Vaginal enriched",3,"Amino acid / nitrogen metabolism"
"pwy-5918","PWY-5918: superpathay of heme biosynthesis from glutamate","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-6318","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-6386","PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy-7400","PWY-7400: L-arginine biosynthesis IV (archaebacteria)","C-section enriched",3,"Amino acid / nitrogen metabolism"
"pwy0-1061","PWY0-1061: superpathway of L-alanine biosynthesis","Vaginal enriched",3,"Amino acid / nitrogen metabolism"
"urdegr-pwy","URDEGR-PWY: superpathway of allantoin degradation in plants","Vaginal enriched",3,"Amino acid / nitrogen metabolism"
"aro-pwy","ARO-PWY: chorismate biosynthesis I","C-section enriched",3,"Aromatic compound metabolism"
"catechol-ortho-cleavage-pwy","CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate","C-section enriched",3,"Aromatic compound metabolism"
"protocatechuate-ortho-cleavage-pwy","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)","C-section enriched",3,"Aromatic compound metabolism"
"pwy-5178","PWY-5178: toluene degradation IV (aerobic) (via catechol)","C-section enriched",3,"Aromatic compound metabolism"
